,Lat,Lon,Time.Range,Vessel.ID,Flag,Vessel.Name,Entry.Timestamp,Exit.Timestamp,Gear.Type,Vessel.Type,MMSI,IMO,CallSign,First.Transmission.Date,Last.Transmission.Date,Apparent.Fishing.Hours,vessel_record_id,shipname,n_shipname,n_callsign,imo,flag,first_timestamp,last_timestamp,geartype,length_m,tonnage_gt,engine_power_kw,is_fishing,is_carrier,is_bunker
3872,2.58,-92.38,2022-10-23,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.89,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3873,2.45,-88.82,2022-01-24,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1.05,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3874,2.63,-88.43,2022-02-17,f5aafcc13-3bf9-23c8-a2dd-c6cb9061c7d0,ECU,EILEEN MARIE,2022-02-15 21:00:00,2022-03-13 11:00:00,tuna_purse_seines,Fishing,735057623,886948800,HC4568,2021-01-13 21:42:45,2023-07-27 16:24:02,0.05,IATTC-3166|IMO-8869488,EILEEN MARIE,EILEENMARIE,HC4568,8869488,ECU,2021-01-15 13:47:07 UTC,2022-06-29 12:01:48 UTC,tuna_purse_seines,44,585.3,1592,true,false,false
3875,2.96,-89.81,2022-05-22,73e228ac7-731f-b399-6a97-b61061ab48ec,ECU,JOLINDA,2022-05-22 02:00:00,2022-05-22 14:00:00,tuna_purse_seines,Fishing,735059299,0,HC56O1,2020-03-06 23:22:54,2022-06-16 03:44:53,8.27,IATTC-2797|IMO-7202293,JO LINDA,JOLINDA,HC56O1,7202293,ECU,2020-03-06 23:24:08 UTC,2022-06-30 21:17:34 UTC,tuna_purse_seines,40.2,463.3,1069.7,true,false,false
3876,2.62,-91.96,2022-05-12,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1.2,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3877,2.59,-91.9,2022-05-12,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,1.21,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3878,2.48,-91.7,2022-05-12,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.7,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3879,2.27,-91.28,2022-05-13,ffbb0870c-cfc7-5d82-9b2a-c6f7df2a58d6,ECU,GLORIA C,2022-01-24 02:00:00,2022-12-24 15:00:00,fishing,Fishing,735023497,7325174,HC2603,2021-03-27 17:14:51,2023-08-13 23:44:21,0.71,IATTC-3202|IMO-7325174,GLORIA C,GLORIAC,HC2603,7325174,ECU,2021-03-27 17:51:32 UTC,2022-06-26 15:14:33 UTC,purse_seines,31.6,291.5,634.1,true,false,false
3880,2.16,-89,2022-06-23,8f9216109-91c8-57cf-7bf2-198fe36b0bee,ECU,FIORELLA L,2022-06-22 23:00:00,2022-06-24 06:00:00,tuna_purse_seines,Fishing,735057790,741547400,HC2453,2020-08-01 14:07:46,2023-08-10 11:49:30,0.34,IATTC-3610|IMO-7415474,FIORELLA L,FIORELLAL,HC2453,7415474,ECU,2020-09-29 19:59:21 UTC,2022-06-30 22:00:12 UTC,tuna_purse_seines,39.4,476.4,982.1,true,false,false
3881,2.2,-89.03,2022-06-22,8f9216109-91c8-57cf-7bf2-198fe36b0bee,ECU,FIORELLA L,2022-06-22 23:00:00,2022-06-24 06:00:00,tuna_purse_seines,Fishing,735057790,741547400,HC2453,2020-08-01 14:07:46,2023-08-10 11:49:30,0.15,IATTC-3610|IMO-7415474,FIORELLA L,FIORELLAL,HC2453,7415474,ECU,2020-09-29 19:59:21 UTC,2022-06-30 22:00:12 UTC,tuna_purse_seines,39.4,476.4,982.1,true,false,false
